Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400039673;12;5;2024;18:00;1;54;54084;1;1;7;7;D952;49,31544316;5,82927704
202400050164;3;12;2024;12:20;1;34;34172;2;2;1;7;GANGES (ROUTE DE;43,63852000;3,84726000
202400045703;14;7;2024;02:20;5;25;25056;2;9;1;6;MONTBOUCONS VOIES CITE DE;47,24950000;6,00115000
202400004465;26;4;2024;11:30;1;69;69266;2;3;2;3;9 Rue Léon Blum;45,75954022;4,89191398
202400005568;7;7;2024;13:30;1;91;91377;2;1;1;6;RUE GAMBETTA;48,73021000;2,27640000
202400043982;21;8;2024;17:00;1;75;75108;2;2;1;2;AVENUE GEORGE V;48,86842000;2,30116200
202400022803;9;10;2024;11:55;1;66;66136;2;1;1;6;BOULES;42,70471000;2,87977000
202400044234;6;12;2024;17:15;5;75;75106;2;7;1;3;BOULEVARD SAINT MICHEL;48,84779600;2,34103200
202400046297;6;12;2024;17:30;5;14;14348;1;3;1;3;23 Route de Caen;49,16241600; -0,61488800
202400002645;27;4;2024;23:25;5;988;98818;2;1;1;6;RUE JACQUES IEKAWE; -22,24068000;166,47050000
202400034923;12;12;2024;22:10;5;94;94071;2;9;8;7;Place Sainte Bernadette;48,76706000;2,53298000
202400011842;23;4;2024;19:27;1;78;78208;1;1;1;6;RN12 EXT;48,80000000;1,96925000
202400019045;11;3;2024;07:40;1;987;98735;2;1;1;3;PRINCE HINOI (AVENUE); -17,53408000; -149,56133000
202400052661;14;2;2024;16:50;1;69;69228;2;1;1;6;1292 Route de Villette;45,57983600;4,63138100
202400047634;24;9;2024;16:01;1;33;33063;2;1;1;3;;44,81388000; -0,56727000
202400051715;10;6;2024;08:10;1;92;92036;1;1;1;3;AUTOROUTE A15;48,94067835;2,29263081
202400043798;20;8;2024;08:35;1;86;86194;2;3;1;2;Boulevard des Rocs;46,59240000;0,33444000
202400024557;9;10;2024;20:05;5;33;33192;2;1;2;4;;44,78529000; -0,60560000
202400026138;3;9;2024;14:00;1;58;58059;1;9;1;3;A77, PK 129+000;47,18291300;3,03859400
202400030508;5;10;2024;14:25;1;25;25029;1;1;1;7;D41;47,03639463;6,34284496
202400016888;14;10;2024;09:25;1;95;95060;1;1;1;2;A115;49,03632652;2,19483097
202400013368;15;3;2024;03:45;5;974;97411;2;9;2;3;DESBASSYNS (CHEMIN); -20,89097000;55,48016000
202400034945;13;12;2024;18:25;2;19;19028;1;6;2;3;D979;45,41156800;2,49782300
202400041652;2;4;2024;20:15;1;07;07281;2;1;1;7;COUBERTIN (RUE PIERRE DE);44,94730000;4,85210000
